Menu Section,Menu Item,Column,Expected URL Pattern,Expected Content Keywords,Item Type,Status
NEW,New Arrivals,All New Arrivals,new,new|arrival|product,link,
NEW,VS Icon Shoppe,Now Trending,icon,vs-icon|iconic|collection,link,
NEW,The Lacie Shop,Now Trending,lacie,lacie|shop|designer,link,
NEW,VS X Leonisa,Now Trending,leonisa,leonisa|collaboration|partner,link,
NEW,The Halloween Edit,Now Trending,halloween,halloween|seasonal|edit,link,
NEW,Sexy Night Out,Now Trending,night-out,night|sexy|occasion,link,
NEW,As Seen on Social,Now Trending,social,social|viral|trending,link,
NEW,Bestsellers,Featured,bestseller,bestseller|new|products,link,
NEW,Our Collections,Featured,collection,collection|curated,link,
NEW,The Gift Shop,Featured,gift,gift|shop|curated,link,
NEW,Brand Boutique,Featured,boutique,brand|boutique,link,
NEW,GIFT CARDS,Featured,gift-card,gift|card,link,
NEW,FASHION SHOW,Featured,fashion-show,fashion|show|exclusive,link,
